product_id,product_name,product_width,product_length,material,color,packaging_weight,manufacturer,price,release_date
99,Buffalo - Striploin,94.3,31.7,metal,Teal,2.24,Demivee,636.04,7/8/2012
100,Ice Cream - Turtles Stick Bar,10.3,41.27,plastic,Crimson,9.88,Aimbu,791.62,8/27/2017
101,"Wine - Red, Cooking",73.02,24.57,wood,Puce,8.05,Trudeo,554.33,8/10/2003
102,"Sauce - Bernaise, Mix",7.19,19.03,plastic,Fuscia,9.84,Yodoo,219.94,5/21/2002
103,Mix - Cocktail Ice Cream,79.34,23.09,metal,Khaki,6.04,Bluejam,655.14,11/20/2014
104,Juice - Lagoon Mango,64.44,16.4,wood,Fuscia,6.34,Eamia,547.41,3/23/2013
105,Bagel - 12 Grain Preslice,63.28,84.19,plastic,Red,8.64,Gabcube,435.47,10/24/2003
106,Samosa - Veg,6.68,63.81,glass,Green,9.03,InnoZ,898.05,7/22/2018
107,"Pepper - Black, Crushed",15.56,95.41,metal,Pink,9.46,Cogidoo,625.29,4/12/2012
108,Arrowroot,47.05,47.48,wood,Mauv,3.6,Rooxo,340.11,1/11/2016
109,Emulsifier,55.94,52.12,metal,Fuscia,3.48,Youtags,655.02,4/19/2019
110,Cauliflower,67.03,14.28,metal,Violet,6.8,Zoonder,757.24,4/13/2019
111,Tea - Herbal - 6 Asst,88.76,97.56,metal,Yellow,4.59,Youbridge,71.36,9/4/2009
112,Milk - Chocolate 250 Ml,24.46,57.7,plastic,Goldenrod,7.77,Aimbu,98.08,7/18/2001
113,Sansho Powder,67.32,43.83,plastic,Yellow,6.45,Rhycero,68.83,5/13/2000
114,Juice - Lemon,78.43,87.52,plastic,Teal,1.51,Demimbu,847.01,10/15/2006
115,Muffin Chocolate Individual Wrap,55.29,53.53,glass,Khaki,5.99,Twitterbeat,532.7,2/3/2004
116,Soup - Campbells Beef Noodle,57.65,35.98,metal,Blue,1.81,Ainyx,156.69,10/29/2022
117,Energy Drink - Franks Pineapple,25.66,12.64,wood,Indigo,7.61,Riffpedia,419.38,11/1/2000
118,"Wine - White, Chardonnay",42.98,38.7,wood,Aquamarine,4.92,Rhynoodle,281.18,1/30/2003
119,"Wine - Niagara,vqa Reisling",41.89,84.26,metal,Mauv,7.43,Flipopia,319.6,7/17/2016
120,Ocean Spray - Ruby Red,7.46,45.45,plastic,Aquamarine,9.71,Flipbug,501.05,9/3/2020
121,Cheese - Pied De Vents,65.35,23.33,metal,Blue,0.26,Quimm,183.15,4/9/2014
122,Bread - Corn Muffaleta Onion,8.53,61.63,plastic,Goldenrod,5.67,Vitz,456.63,10/6/2019
123,Whmis - Spray Bottle Trigger,89.12,74.72,plastic,Pink,8.17,Gigashots,33.8,8/20/2008
124,Beef - Tenderloin,63.17,33.64,metal,Maroon,1.25,Blogpad,795.21,4/23/2002
125,Crawfish,8.83,43.74,plastic,Maroon,5.68,Thoughtbeat,400.13,8/10/2017
126,"Beans - Black Bean, Canned",35.78,89.93,plastic,Aquamarine,0.59,Tagopia,769.88,11/1/2014
127,"Yogurt - Raspberry, 175 Gr",79.72,77.97,metal,Yellow,2.36,Twitterbeat,873.47,10/14/2005
128,Wine - Vineland Estate Semi - Dry,46.11,85.22,plastic,Mauv,8.6,Tagchat,277.53,7/8/2012
129,"Wine - White, Lindemans Bin 95",49.55,47.19,metal,Green,7.21,Gigabox,21.21,1/6/2008
130,Appetizer - Smoked Salmon / Dill,50.87,42.36,wood,Purple,7.68,Twiyo,266.25,11/24/2002
131,Pike - Frozen Fillet,89.85,33.29,plastic,Goldenrod,0.39,Flipbug,622.95,7/10/2010
132,Broom - Corn,14.99,96.28,wood,Puce,3.42,Devbug,553.76,11/12/2011
133,Beef - Cow Feet Split,63.36,39.82,metal,Fuscia,2.56,Muxo,318.05,2/2/2020
134,"Cheese - Havarti, Salsa",83.55,77.39,wood,Puce,2.36,JumpXS,259.57,12/31/2015
135,Orange Roughy 6/8 Oz,84.64,3.43,plastic,Yellow,4.45,Babbleset,983.07,1/9/2014
136,Energy Drink - Franks Original,6.29,37.78,glass,Crimson,2.19,Twitterlist,531.49,5/12/2020
137,Mace,26.08,70.06,metal,Orange,3.78,Rooxo,229.05,5/10/2005
138,Tray - 12in Rnd Blk,39.81,75.93,wood,Crimson,7.16,Jayo,619.21,8/14/2014
139,"Cheese - Mozzarella, Shredded",21.78,77.45,glass,Blue,4.48,Jabberstorm,888.85,5/21/2007
140,Salad Dressing,71.6,72.08,plastic,Purple,9.83,Thoughtblab,428.35,3/16/2004
141,Ecolab Digiclean Mild Fm,74.39,8.49,wood,Pink,4.95,JumpXS,436.63,10/31/2005
142,Walkers Special Old Whiskey,87.15,54.43,wood,Violet,1.57,Realpoint,285.99,4/3/2019
143,Bacardi Mojito,93.07,19.41,glass,Teal,8.29,Flipstorm,428.93,7/14/2014
144,Veal - Kidney,77.68,10.34,plastic,Pink,2.07,Dabfeed,707.39,2/23/2012
145,Paper Cocktail Umberlla 80 - 180,56.25,85.89,plastic,Turquoise,2.41,Muxo,938.62,10/11/2011
146,Sausage - Chorizo,88.99,1.68,wood,Green,4.64,Twimm,20.83,9/28/2002
147,Appetizer - Seafood Assortment,34.85,32.37,wood,Yellow,5.91,Tagpad,853.74,2/15/2002
148,Turkey Leg With Drum And Thigh,75.56,53.0,glass,Blue,3.81,Jabbertype,529.8,2/16/2015
149,V8 Splash Strawberry Kiwi,6.41,74.93,plastic,Pink,3.09,Flipstorm,873.8,8/2/2001
150,Cake - Mini Cheesecake,41.65,42.4,metal,Teal,0.72,Edgetag,220.17,5/25/2002
151,Beef - Eye Of Round,79.41,59.28,plastic,Indigo,5.98,Livepath,94.59,10/7/2002
152,Cabbage Roll,32.59,18.3,metal,Fuscia,0.73,BlogXS,461.07,10/23/2009
153,Latex Rubber Gloves Size 9,65.22,55.37,wood,Pink,4.58,Jetpulse,288.89,12/28/2002
154,Beer - Labatt Blue,48.84,79.67,wood,Pink,7.85,Edgeify,782.41,4/28/2002
155,Beans - Fava Fresh,33.48,47.0,wood,Blue,8.55,Rhynoodle,845.17,10/3/2002
156,Chickhen - Chicken Phyllo,35.07,97.87,glass,Fuscia,3.09,Kazio,583.38,4/7/2019
157,Tea - Earl Grey,54.01,69.97,metal,Red,5.36,Rhynoodle,616.58,1/13/2012
158,Soup Campbells - Tomato Bisque,8.22,98.48,metal,Teal,5.92,Skiba,274.18,6/2/2002
159,Paper Towel Touchless,30.91,50.12,plastic,Purple,2.46,Zoomlounge,580.0,4/16/2011
160,Tart - Butter Plain Squares,67.6,47.69,plastic,Aquamarine,4.23,Buzzshare,516.86,9/2/2011
161,Syrup - Pancake,8.62,23.56,plastic,Goldenrod,4.73,Pixonyx,654.73,9/9/2001
162,Squash - Acorn,28.72,42.94,wood,Pink,8.91,Demizz,464.27,8/10/2022
163,"Nut - Almond, Blanched, Whole",45.39,64.59,glass,Turquoise,4.0,Livepath,178.8,1/21/2003
164,Mushroom - White Button,94.07,90.74,wood,Puce,1.97,Lazzy,377.46,1/6/2004
165,"Tarragon - Primerba, Paste",44.89,98.15,wood,Puce,1.96,Gabcube,65.54,2/19/2008
166,Gloves - Goldtouch Disposable,65.19,19.77,metal,Violet,8.22,Buzzster,607.84,11/10/2009
167,"Wine - Harrow Estates, Vidal",45.03,99.5,metal,Indigo,7.91,LiveZ,488.26,4/12/2005
168,Muffin - Zero Transfat,93.01,4.84,metal,Indigo,7.73,Dynabox,619.37,6/18/2008
169,Coffee - Espresso,27.98,20.99,metal,Pink,1.17,Gabvine,756.53,4/6/2013
170,"Soup - Campbells, Creamy",2.18,48.01,wood,Teal,4.52,Youtags,867.54,5/14/2017
171,Fruit Mix - Light,47.25,91.26,wood,Khaki,3.39,Buzzshare,691.13,10/16/2005
172,Yeast Dry - Fermipan,75.87,12.4,plastic,Green,3.96,Realblab,482.45,2/6/2017
173,Sugar - Invert,15.97,27.98,plastic,Indigo,0.22,Ntags,854.28,5/22/2000
174,Coffee Decaf Colombian,64.31,58.04,metal,Puce,8.49,Gabtune,673.92,1/4/2013
175,Pastry - Cheese Baked Scones,40.13,3.38,wood,Indigo,4.97,Dabtype,257.96,10/9/2000
176,Bread - French Baquette,54.81,83.65,metal,Purple,9.55,Tekfly,717.45,10/29/2014
177,Eggplant Italian,86.54,59.63,metal,Maroon,1.18,Browsetype,215.14,2/25/2006
178,"Wine - Red, Cabernet Sauvignon",15.18,13.99,wood,Pink,9.35,Twinte,530.36,12/22/2012
179,Glucose,69.98,70.99,glass,Red,5.32,Omba,836.7,4/24/2022
180,Sherry - Dry,97.9,50.06,plastic,Maroon,7.67,Quimm,766.99,5/30/2006
181,Truffle Shells - White Chocolate,34.39,41.69,metal,Orange,5.96,Zoomdog,775.47,6/5/2018
182,Cookie Dough - Chocolate Chip,25.18,59.8,wood,Turquoise,4.62,Demizz,40.01,7/24/2013
183,Soup - Campbells - Chicken Noodle,87.82,30.89,wood,Puce,5.37,Dynabox,463.08,6/9/2017
184,Piping Jelly - All Colours,31.92,50.96,plastic,Blue,4.74,Chatterbridge,250.07,4/29/2009
185,Sprouts - Pea,64.52,74.14,glass,Crimson,5.06,Miboo,92.66,9/25/2015
186,"Beef - Ground, Extra Lean, Fresh",88.25,79.68,glass,Pink,9.09,Rhycero,770.68,8/14/2013
187,Ecolab - Solid Fusion,17.84,63.4,wood,Fuscia,1.46,Linklinks,485.54,2/28/2005
188,"Beans - Black Bean, Canned",33.12,64.41,wood,Crimson,2.49,Jabbersphere,791.9,2/10/2018
189,Milk - 2%,49.14,51.5,wood,Mauv,3.96,Topicware,350.76,6/12/2002
190,Wine - Pinot Noir Pond Haddock,15.77,99.32,wood,Indigo,9.02,Thoughtsphere,795.13,2/10/2018
191,Fib N9 - Prague Powder,66.34,79.66,wood,Yellow,4.31,Jaxspan,148.82,8/13/2002
192,Muffin Mix - Carrot,86.17,84.35,glass,Yellow,1.53,Fiveclub,451.36,5/27/2014
193,Fond - Neutral,3.62,8.53,glass,Yellow,2.98,Photofeed,535.41,12/20/2022
194,Irish Cream - Butterscotch,88.64,14.01,metal,Green,5.41,Quaxo,925.55,9/17/2021
195,Jolt Cola,2.92,52.87,wood,Blue,7.83,Skynoodle,203.36,11/16/2001
196,Mushroom - Chanterelle Frozen,59.75,92.26,metal,Orange,1.45,Yodel,655.86,1/9/2000
197,Jolt Cola - Electric Blue,71.0,13.11,plastic,Mauv,8.17,Mydeo,234.65,2/15/2006
198,Soup - Campbells Bean Medley,7.23,39.12,wood,Maroon,0.6,Cogidoo,899.35,9/26/2022
199,Paste - Black Olive,5.91,52.47,glass,Purple,8.01,Divape,384.77,4/28/2017
200,Pear - Halves,78.1,22.22,plastic,Indigo,2.84,Eare,672.08,4/23/2012
201,"Crab - Blue, Frozen",2.37,13.55,wood,Khaki,8.86,Tagchat,936.28,4/12/2004
202,Melon - Cantaloupe,73.32,56.13,plastic,Orange,3.52,Skiptube,302.89,7/24/2003
203,Longos - Cheese Tortellini,80.41,27.3,metal,Yellow,5.89,Skynoodle,14.98,8/1/2018
204,"Beef - Ox Tongue, Pickled",73.94,82.5,metal,Turquoise,7.28,Thoughtsphere,69.2,11/8/2022
205,Kiwi,86.14,54.47,plastic,Pink,0.66,Aimbo,0.53,3/5/2012
206,Scallops - In Shell,30.8,33.32,wood,Green,0.33,Katz,166.35,9/8/2011
207,Cup - Translucent 7 Oz Clear,22.32,14.4,wood,Khaki,1.16,Kwilith,898.49,7/21/2018
208,Sour Puss Raspberry,85.33,61.93,wood,Puce,8.55,Livefish,870.91,6/1/2020
209,Milk 2% 500 Ml,78.88,46.57,wood,Puce,1.36,Meejo,718.03,9/16/2014
210,Beer - Labatt Blue,71.3,67.03,plastic,Indigo,7.2,Katz,885.23,9/18/2019
211,Pate - Liver,65.58,99.6,glass,Fuscia,3.33,Tagtune,921.54,12/21/2022
212,"Lemonade - Natural, 591 Ml",91.99,30.65,wood,Orange,6.82,Oyonder,824.6,12/11/2017
213,Canadian Emmenthal,47.07,5.83,wood,Aquamarine,8.72,Dynava,33.75,4/11/2021
214,Wine - Dubouef Macon - Villages,69.92,35.12,wood,Teal,7.55,Skipstorm,416.88,3/28/2020
215,Oil - Hazelnut,40.67,92.71,glass,Aquamarine,1.93,Zoombox,525.92,7/17/2019
216,Emulsifier,10.04,40.79,wood,Puce,2.78,Feedfish,47.65,7/12/2022
217,Vaccum Bag - 14x20,51.92,81.53,plastic,Fuscia,8.15,Gabvine,926.02,11/23/2010
218,Sherbet - Raspberry,18.97,40.23,plastic,Maroon,0.35,Einti,814.14,1/20/2008
219,Raspberries - Frozen,43.22,34.82,metal,Aquamarine,7.53,Voonte,535.21,11/15/2009
220,"Champagne - Brights, Dry",32.57,42.49,plastic,Yellow,3.11,Zoomdog,873.89,6/14/2003
221,Pepper Squash,97.08,7.55,metal,Green,5.36,Youopia,192.08,8/6/2005
222,Pork - Back Ribs,40.36,94.91,plastic,Turquoise,0.94,Mynte,253.92,5/15/2003
223,Lentils - Green Le Puy,26.95,8.9,metal,Violet,1.21,Twimm,985.47,8/5/2004
224,Mushroom - King Eryingii,77.7,68.5,metal,Khaki,1.75,Snaptags,709.21,2/14/2014
225,Carbonated Water - Strawberry,31.87,58.62,plastic,Pink,4.01,Bluejam,112.15,7/2/2019
226,Wanton Wrap,33.54,9.26,wood,Blue,7.94,Rhyzio,607.08,9/3/2007
227,"Cheese - Brie, Cups 125g",20.4,90.51,glass,Puce,7.49,Realmix,246.12,5/7/2010
228,Anisette - Mcguiness,76.31,76.17,plastic,Aquamarine,1.61,Pixonyx,96.91,6/19/2000
229,Turnip - Mini,37.66,62.2,glass,Khaki,2.31,Fadeo,293.15,9/14/2011
230,Bagelers - Cinn / Brown Sugar,70.03,24.27,wood,Turquoise,8.0,Fadeo,83.43,11/4/2013
231,Cookies - Englishbay Wht,73.73,69.43,metal,Red,0.13,Brainverse,533.24,2/25/2018
232,Baking Soda,93.22,32.72,plastic,Indigo,4.39,Trilia,198.61,2/11/2000
233,Appetizer - Lobster Phyllo Roll,54.24,26.56,glass,Khaki,0.29,Reallinks,392.89,9/1/2001
234,Clam Nectar,57.48,25.85,glass,Maroon,6.26,Skidoo,231.5,10/1/2010
235,"Nut - Hazelnut, Ground, Natural",46.15,90.72,plastic,Goldenrod,2.51,Quatz,802.4,10/17/2017
236,Pastry - Trippleberry Muffin - Mini,73.02,95.68,metal,Blue,4.07,Skinte,679.45,2/11/2006
237,Grand Marnier,47.75,81.85,metal,Aquamarine,7.32,Eabox,328.7,7/31/2021
238,Puree - Mango,39.78,33.33,glass,Violet,4.47,Quatz,858.21,12/26/2022
239,"Rum - Light, Captain Morgan",58.22,80.09,glass,Teal,8.94,Trudeo,419.39,12/22/2015
240,"Bread - Roll, Whole Wheat",86.69,10.62,glass,Blue,4.32,Fivespan,593.63,9/2/2014
241,Cherries - Fresh,34.71,7.91,metal,Orange,1.87,Thoughtbeat,723.37,4/12/2010
242,Onion Powder,42.25,9.88,plastic,Puce,4.61,Fivechat,871.81,4/15/2022
243,Mushrooms - Honey,44.09,78.13,wood,Maroon,7.4,Yakitri,737.45,4/29/2008
244,Wine - Crozes Hermitage E.,12.03,62.7,wood,Pink,0.45,Yakitri,814.23,11/9/2005
245,Guinea Fowl,20.22,47.83,glass,Red,6.31,Zoomlounge,274.83,3/28/2009
246,Wine - Charddonnay Errazuriz,91.8,63.54,plastic,Blue,9.57,Skyble,661.63,9/10/2020
247,Beef - Sushi Flat Iron Steak,96.9,12.46,wood,Yellow,1.7,Realpoint,44.07,1/31/2002
248,"Soup - Knorr, Chicken Noodle",29.01,25.32,plastic,Orange,9.72,Youfeed,171.98,5/13/2019
249,Coffee Beans - Chocolate,49.88,41.13,metal,Pink,9.3,Gabtype,983.64,8/31/2022
250,Lid - 3oz Med Rec,91.53,95.51,wood,Goldenrod,4.66,Photospace,369.74,6/23/2018
251,Salt And Pepper Mix - Black,60.04,68.91,wood,Violet,4.59,Skipstorm,304.02,7/17/2013
252,Initation Crab Meat,89.59,61.82,wood,Teal,2.46,Plambee,975.71,11/1/2002
253,Taro Leaves,70.24,16.49,metal,Teal,4.42,Skipstorm,678.59,12/13/2006
254,Wine - Hardys Bankside Shiraz,50.48,42.99,plastic,Aquamarine,8.03,Wordtune,995.63,4/1/2014
255,Mushrooms - Honey,6.84,34.93,glass,Pink,5.34,Bubblemix,70.64,1/9/2019
256,Beer - Upper Canada Lager,12.52,13.36,metal,Red,3.0,Eire,53.5,12/21/2012
257,"Lemonade - Natural, 591 Ml",36.43,47.63,metal,Khaki,9.78,Bluezoom,281.41,8/19/2019
258,Rabbit - Frozen,72.6,68.04,metal,Crimson,5.77,Twitterbeat,854.06,12/8/2013
259,Lid - 3oz Med Rec,59.28,77.93,plastic,Aquamarine,2.34,Quinu,672.08,3/12/2019
260,Beans - French,16.35,41.34,metal,Pink,0.31,Buzzster,121.99,11/20/2016
261,"Sauce - Bernaise, Mix",45.9,67.71,plastic,Mauv,4.45,Demimbu,9.23,8/26/2021
262,Bananas,58.96,88.74,metal,Indigo,1.28,Katz,731.01,10/6/2002
263,"Mushroom - Porcini, Dry",2.68,49.41,plastic,Fuscia,2.54,Rooxo,42.32,6/25/2001
264,Wine - Redchard Merritt,13.37,96.05,wood,Maroon,0.14,Photobug,11.93,2/19/2004
265,"Pork - Bacon, Double Smoked",10.83,29.56,metal,Red,1.6,Linktype,417.88,12/29/2020
266,Appetizer - Chicken Satay,15.69,48.65,wood,Purple,4.46,Skalith,425.54,5/6/2006
